"format"|"id"|"media_type"|"label"|"file_extension"
"TAB_RSTR"|"http://publications.europa.eu/resource/authority/file-type/TAB_RSTR"|""|"TAB_RSTR"|".tab"
"TABLEDAP"|""|"http://coastwatch.pfeg.noaa.gov/erddap/tabledap/documentation.html"|"TABLEDAP"|""
"TAR"|"http://publications.europa.eu/resource/authority/file-type/TAR"|""|"TAR"|".tar"
"TAR_GZ"|"http://publications.europa.eu/resource/authority/file-type/TAR_GZ"|"http://www.iana.org/assignments/media-types/application/vnd.cncf.helm.chart.content.v1.tar+gzip"|"TAR_GZ"|".tar.gz"
"TAR_XZ"|"http://publications.europa.eu/resource/authority/file-type/TAR_XZ"|""|"TAR_XZ"|".tar.xz"
"TEMPLATE"|""|"http://tools.ietf.org/html/rfc6570"|"TEMPLATE"|""
"THREDDS"|""|"http://www.unidata.ucar.edu/namespaces/thredds/InvCatalog/v1.0"|"THREDDS"|""
"TIFF"|"http://publications.europa.eu/resource/authority/file-type/TIFF"|"http://www.iana.org/assignments/media-types/image/tiff"|"TIFF"|".tiff"
"TIFF_FX"|"http://publications.europa.eu/resource/authority/file-type/TIFF_FX"|""|"TIFF_FX"|".tiff"
"TILEJSON"|""|""|"TILEJSON"|""
"TMS"|""|"http://wiki.osgeo.org/wiki/Tile_Map_Service_Specification"|"TMS"|""
"TMX"|"http://publications.europa.eu/resource/authority/file-type/TMX"|""|"TMX"|".xml"
"TSV"|"http://publications.europa.eu/resource/authority/file-type/TSV"|"http://www.iana.org/assignments/media-types/text/tab-separated-values"|"TSV"|".tsv"
"TTL"|"http://publications.europa.eu/resource/authority/file-type/RDF_TURTLE"|"http://www.iana.org/assignments/media-types/text/turtle"|"RDF_TURTLE"|".ttl"
"TXT"|"http://publications.europa.eu/resource/authority/file-type/TXT"|""|"TXT"|".txt"
"UNGEN"|"http://publications.europa.eu/resource/authority/file-type/UNGEN"|""|"UNGEN"|"-"
"WAR"|"http://publications.europa.eu/resource/authority/file-type/WAR"|""|"WAR"|".war"
"WARC"|"http://publications.europa.eu/resource/authority/file-type/WARC"|""|"WARC"|".warc"
